XENON1T Cabling Map,,,,,,,,,,,
Date: 2015-05-08,,,,,,,,,,,
,,,,,,,,,,,
PMT Location,PMT Serial Number,Top/Bottom,ADC,ADC ID,Signal Connector,Signal FT,Amp,HV,HV Connector,HV Return,HV FT
95,827,top,1.5,54,0.18,0,0.05,0.18,0.18,0,0
96,850,top,2.6,80,0.19,0,1.14,0.19,0.19,0,0
97,923,top,6.5,80,2.17,0,1.15,2.17,2.17,2,0
98,254,top,7.6,89,2.18,0,2.06,2.18,2.18,2,0
99,558,top,8.6,107,2.19,0,4.06,2.19,2.19,2,0
100,219,top,6.6,106,2.2,0,3.14,2.2,2.2,2,0
101,152,top,13.6,102,4.12,1,3.06,4.12,4.12,4,1
102,687,top,5.5,108,1.16,0,4.13,1.16,1.16,1,0
103,925,top,3.6,115,1.17,0,5.13,1.17,1.17,1,0
104,670,top,4.5,110,1.18,0,5.05,1.18,1.18,1,0
105,718,top,5.6,108,1.19,0,4.14,1.19,1.19,1,0
106,873,top,9.5,117,3.17,1,6.06,3.17,3.17,3,0
107,924,top,10.6,121,3.18,1,6.14,3.18,3.18,3,0
108,903,top,9.7,117,3.22,1,6.07,3.22,3.22,3,0
109,220,top,14.6,124,5.13,1,7.07,5.13,5.13,5,1
110,229,top,1.6,54,0.2,0,0.06,0.2,0.2,0,0
111,761,top,2.7,79,0.21,0,1.07,0.21,0.21,0,0
112,816,top,0.7,78,0.22,0,0.14,0.22,0.22,0,0
113,912,top,8.7,95,2.21,0,2.14,2.21,2.21,2,0
114,920,top,6.7,95,2.22,0,2.15,2.22,2.22,2,0
115,146,top,12.6,102,4.13,1,3.07,4.13,4.13,4,1
116,154,top,4.6,107,1.2,0,4.07,1.2,1.2,1,0
117,556,top,5.7,110,1.21,0,5.06,1.21,1.21,1,0
118,541,top,3.7,115,1.22,0,5.14,1.22,1.22,1,0
119,616,top,11.7,108,3.21,1,4.15,3.21,3.21,3,0
120,818,top,10.7,121,3.23,1,6.15,3.23,3.23,3,0
121,872,top,15.7,78,5.14,1,0.07,5.14,5.14,5,1
122,210,top,1.7,54,0.23,0,0.15,0.23,0.23,0,0
123,227,top,7.7,89,2.23,0,2.07,2.23,2.23,2,0
124,202,top,13.7,106,4.14,1,3.15,4.14,4.14,4,1
125,231,top,4.7,110,1.23,0,5.07,1.23,1.23,1,0
126,752,top,12.7,115,4.15,1,5.15,4.15,4.15,4,1
127,806,bottom,16,127,6,2,7.15,6,6,6,1
128,175,bottom,17,136,6.01,2,8,6.01,6.01,6,1
129,163,bottom,18,139,6.02,2,8.08,6.02,6.02,6,1
130,742,bottom,16.1,136,6.03,2,8.01,6.03,6.03,6,1
131,751,bottom,17.1,139,6.04,2,8.09,6.04,6.04,6,1
132,854,bottom,22,162,8,2,14,8,8,8,2
133,124,bottom,23,165,8.01,2,14.08,8.01,8.01,8,2
134,123,bottom,18.1,167,6.05,2,15,6.05,6.05,6,1
135,668,bottom,16.2,140,6.06,2,9,6.06,6.06,6,1
136,754,bottom,17.2,136,6.07,2,8.02,6.07,6.07,6,1
137,904,bottom,18.2,140,6.08,2,9.01,6.08,6.08,6,1
138,855,bottom,16.3,136,6.09,2,8.03,6.09,6.09,6,1
139,760,bottom,17.3,139,6.1,2,8.1,6.1,6.1,6,1
140,809,bottom,23.1,165,8.02,2,14.09,8.02,8.02,8,2
141,170,bottom,24,167,8.03,2,15.01,8.03,8.03,8,2
142,785,bottom,22.1,162,8.04,2,14.01,8.04,8.04,8,2
143,215,bottom,17.4,162,6.11,2,14.02,6.11,6.11,6,1
144,122,bottom,18.3,139,6.12,2,8.11,6.12,6.12,6,1
145,125,bottom,16.4,140,6.13,2,9.02,6.13,6.13,6,1
146,786,bottom,17.5,139,6.14,2,8.12,6.14,6.14,6,1
147,501,bottom,18.4,140,6.15,2,9.03,6.15,6.15,6,1
148,767,bottom,14.7,140,11,3,9.04,5.21?,5.21,5?,1
149,926,bottom,24.1,167,8.05,2,15.02,8.05,8.05,8,2
150,204,bottom,22.2,162,8.06,2,14.03,8.06,8.06,8,2
151,777,bottom,23.2,165,8.07,2,14.1,8.07,8.07,8,2
152,743,bottom,24.2,167,8.08,2,15.03,8.08,8.08,8,2
153,787,bottom,16.5,165,6.16,2,14.11,6.16,6.16,6,1
154,134,bottom,17.6,136,6.17,2,8.04,6.17,6.17,6,1
155,135,bottom,18.5,140,6.18,2,9.05,6.18,6.18,6,1
156,121,bottom,16.6,136,6.19,2,8.05,6.19,6.19,6,1
157,679,bottom,19,139,7,2,8.13,7,7,7,1
158,768,bottom,20,136,7.01,2,8.06,7.01,7.01,7,1
159,916,bottom,22.3,162,8.09,2,14.04,8.09,8.09,8,2
160,203,bottom,23.3,165,8.1,2,14.12,8.1,8.1,8,2
161,196,bottom,24.3,167,8.11,2,15.04,8.11,8.11,8,2
162,183,bottom,22.4,162,8.12,2,14.05,8.12,8.12,8,2
163,113,bottom,23.4,162,8.13,2,14.06,8.13,8.13,8,2
164,127,bottom,18.6,167,6.2,2,15.05,6.2,6.2,6,1
165,120,bottom,16.7,140,6.21,2,9.06,6.21,6.21,6,1
166,218,bottom,17.7,139,6.22,2,8.14,6.22,6.22,6,1
167,148,bottom,20.1,136,7.02,2,8.07,7.02,7.02,7,1
168,206,bottom,21,140,7.03,2,9.07,7.03,7.03,7,1
169,772,bottom,19.1,139,7.04,2,8.15,7.04,7.04,7,1
170,901,bottom,23.5,165,8.14,2,14.13,8.14,8.14,8,2
171,173,bottom,24.4,167,8.15,2,15.06,8.15,8.15,8,2
